ID,Source,Duration in Minutes,Start Time,End Time,Amount,Kiosk ID,App Zone ID,App Zone Group,Payment Method,Location Group,Last Updated
78623062,Parking Meters,129.83333,1/15/2020 21:49,1/15/2020 23:58,4.32,10000427,,,CARD,Core,5/4/2023 19:35
78958605,Parking Meters,180,2/1/2020 19:50,2/1/2020 22:50,6,61001614,,,CARD,Rainey,6/9/2023 21:32
80684433,Parking Meters,100,7/11/2020 19:26,7/11/2020 21:06,2,10000710,,,COINS,Core,5/4/2023 20:12
80719209,Parking Meters,180,7/15/2020 16:57,7/15/2020 19:57,6,26002609,,,CARD,Mueller,5/4/2023 20:12
81359471,Parking Meters,478,9/16/2020 14:01,9/16/2020 21:59,5,81002109,,,CARD,Walter,5/4/2023 20:22
81478041,Parking Meters,60,9/29/2020 13:03,9/29/2020 14:03,2.25,20001757,,,CARD,Non-Core,5/4/2023 20:23
82707088,Parking Meters,135,3/3/2021 8:37,3/3/2021 10:52,4.75,20001439,,,CARD,Non-Core,5/4/2023 21:06
82711611,Parking Meters,150,3/3/2021 14:07,3/3/2021 16:37,5.5,10000509,,,CARD,Core,5/4/2023 21:06
82711621,Parking Meters,180,3/3/2021 14:09,3/3/2021 17:09,7.25,71002014,,,CARD,Toomey,5/4/2023 21:06
82718048,Parking Meters,120,3/4/2021 10:13,3/4/2021 12:13,4.25,61001624,,,CARD,Rainey,5/4/2023 21:06
82728412,Parking Meters,72.15,3/5/2021 9:47,3/5/2021 11:00,2.25,26002605,,,CARD,Mueller,5/4/2023 21:07
82728450,Parking Meters,60,3/5/2021 9:51,3/5/2021 10:51,2.25,20001419,,,CARD,Non-Core,5/4/2023 21:07
82728522,Parking Meters,60,3/5/2021 9:56,3/5/2021 10:56,2.25,10000203,,,CARD,Core,5/4/2023 21:07
82728577,Parking Meters,60,3/5/2021 9:58,3/5/2021 10:58,2.25,10001042,,,CARD,Core,5/4/2023 21:07
82732246,Parking Meters,60,3/5/2021 13:36,3/5/2021 14:36,2.25,10001025,,,CARD,Core,5/4/2023 21:07
82751598,Parking Meters,90,3/6/2021 20:52,3/6/2021 22:22,3.25,23002304,,,CARD,Non-Core,5/4/2023 21:07
82781484,Parking Meters,135,3/10/2021 13:54,3/10/2021 16:09,4.75,10001219,,,CARD,Core,5/4/2023 21:07
82785785,Parking Meters,135,3/10/2021 20:00,3/10/2021 22:15,4.75,10001226,,,CARD,Core,5/4/2023 21:07
82785790,Parking Meters,120,3/10/2021 20:00,3/10/2021 22:00,4.25,24002479,,,CARD,East Austin,5/4/2023 21:07
82785802,Parking Meters,30,3/10/2021 20:03,3/10/2021 20:33,1,10000224,,,COINS,Core,5/4/2023 21:07
82785803,Parking Meters,60,3/10/2021 20:02,3/10/2021 21:02,2.25,10000856,,,CARD,Core,5/4/2023 21:07
82785808,Parking Meters,135,3/10/2021 20:02,3/10/2021 22:17,4.75,10001002,,,CARD,Core,5/4/2023 21:07
82785810,Parking Meters,135,3/10/2021 20:04,3/10/2021 22:19,4.75,10001201,,,CARD,Core,5/4/2023 21:07
82815541,Parking Meters,105,3/13/2021 12:51,3/13/2021 14:36,3.75,61001608,,,CARD,Rainey,5/4/2023 21:08
82866354,Parking Meters,150,3/17/2021 19:00,3/17/2021 21:30,5.5,10001002,,,CARD,Core,5/4/2023 21:08
82929754,Parking Meters,240,3/22/2021 13:04,3/22/2021 17:04,10.75,20001712,,,CARD,Non-Core,5/4/2023 21:09
82936411,Parking Meters,81,3/23/2021 10:42,3/23/2021 12:03,2.7,71002020,,,COINS,Toomey,5/4/2023 21:09
82936689,Parking Meters,150,3/23/2021 10:58,3/23/2021 13:28,5.5,10001002,,,CARD,Core,5/4/2023 21:09
83670439,Parking Meters,68.63333,5/18/2021 7:51,5/18/2021 9:00,2.25,71002013,,,CARD,Toomey,5/4/2023 21:19
83718278,Parking Meters,315,5/21/2021 9:48,5/21/2021 15:03,15.5,20001744,,,CARD,Non-Core,5/4/2023 21:19
83720630,Parking Meters,330,5/21/2021 11:39,5/21/2021 17:09,16.5,20001747,,,CARD,Non-Core,5/4/2023 21:19
83727846,Parking Meters,60,5/21/2021 16:33,5/21/2021 17:33,2.25,20001417,,,CARD,Non-Core,5/4/2023 21:19
83728378,Parking Meters,135,5/21/2021 16:54,5/21/2021 19:09,4.75,10000119,,,CARD,Core,5/4/2023 21:19
83728708,Parking Meters,592.3,5/21/2021 17:07,5/22/2021 3:00,6.75,91001903,,,CARD,MACC Lot,5/4/2023 21:19
83729297,Parking Meters,383.06668,5/21/2021 17:35,5/21/2021 23:58,20.53,10000307,,,CARD,Core,5/4/2023 21:19
83738548,Parking Meters,60,5/22/2021 13:20,5/22/2021 14:20,2.25,26002614,,,CARD,Mueller,5/4/2023 21:20
83759946,Parking Meters,60,5/24/2021 11:48,5/24/2021 12:48,2.25,10001201,,,CARD,Core,5/4/2023 21:20
